,Latitude,Longitude,MMSI
" Port Sulphur, USA",29.4741N,89.6838W,367613490
" Port Fourchon, USA",29.1294N,90.2115W,367613490
" Constanta, Romania",44.0922N,28.7116E,477748900
" Nemrut, Turkey",38.7768N,26.909E,477748900
" Marin, Pontevedra, Spain",42.4036N,8.703W,477748900
" Amelia, USA",29.6519N,91.1124W,366967770
" New Orleans, USA",29.95N,90.06W,366967770
" Mobile, USA",30.6651N,88.0298W,366967770
" Los Angeles, USA",33.7163N,118.2644W,367401030
" Long Beach, USA",33.7432N,118.2141W,367401030
" Macapa, Brazil",0.0246N,51.0453W,373871000
" Santana, Brazil",0.0625S,51.1573W,373871000
" Santarem, Brazil",2.4119S,54.7422W,373871000
" Pennsauken, USA",39.9791N,75.0709W,367658140
" Philadelphia, USA",39.95N,75.16W,367658140
" San Francisco, USA",37.8119N,122.4034W,563079000
" Fraser River, Canada",49.1899N,122.9055W,563079000
" Seattle, USA",47.5981N,122.3471W,563079000
" New Orleans, USA",29.95N,90.06W,367472580
" Saint Rose, USA",29.937N,90.3231W,367472580
" West Wego, USA",29.9164N,90.1398W,367472580
" Marrero, USA",29.9066N,90.1086W,367472580
" Chaguaramas, Trinidad & Tobago",10.6766N,61.6423W,369293000
" Seattle, USA",47.5981N,122.3471W,367744170
" Bellingham, USA",48.7519N,122.4982W,367744170
" Coos Bay, USA",43.383N,124.2152W,367309320
" Port Angeles, USA",48.1189N,123.4322W,367309320
" San Diego, USA",32.6734N,117.224W,367309320
" Richmond, USA",37.9065N,122.3612W,367309320
" Panama City, USA",30.1517N,85.6867W,212370000
" Progreso, Mexico",21.3394N,89.68W,212370000
" Tampico, Mexico",22.219N,97.8527W,345090008
" Singapore, Singapore",1.2788N,103.7566E,357072000
" Ulsan, Korea",35.4753N,129.455E,357072000
" Pyeongtaek, Korea",37.0333N,126.682E,357072000
" Corpus Christi, USA",27.8377N,97.4577W,367479650
" Ingleside, USA",27.8245N,97.2263W,367479650
" Novorossiysk, Russia",44.6892N,37.8291E,248185000
" Port Said, Egypt",31.2644N,32.3346E,248185000
" Icdas, Turkey",40.4553N,27.1322E,235076276
" Istanbul, Turkey",41.0223N,28.9861E,235076276
" San Juan, Puerto Rico",18.4518N,66.1223W,338124000
" Yabucoa, Puerto Rico",18.0507N,65.8299W,338124000
" Singapore, Singapore",1.2788N,103.7566E,563054800
" Pasir Gudang, Johor, Malaysia",1.4316N,103.9019E,563054800
" Taixing, China",32.155N,119.9077E,563054800
" Tema, Ghana",5.6185N,0.0058E,370254000
" Lome, Togolese Rep",6.1362N,1.2889E,370254000
" Lagos, Nigeria",6.4315N,3.4016E,370254000
" Port Colborne, Canada",42.8695N,79.252W,538008006
" Port Weller, Canada",43.23N,79.21W,538008006
" Burns Harbor, USA",41.6463N,87.1559W,538008006
" Hamilton, Canada",43.2853N,79.8058W,538008006
" Cleveland, USA",41.5127N,81.7144W,538008006
" Tilbury, United Kingdom",51.46N,0.33E,477634900
" Rotterdam, Netherlands",51.9444N,4.1685E,477634900
" Whitegate, Ireland",51.8361N,8.25W,477634900
" Antwerpen, Belgium",51.2247N,4.3273E,477634900
" Bremerhaven, Germany",53.5497N,8.5796E,477634900
" Balboa, Panama",8.9456N,79.565W,563458000
" Guayaquil, Ecuador",2.2418S,79.8765W,563458000
" Puerto Bolivar, Ecuador",3.261S,80.0051W,563458000
" Puerto Quetzal, Guatemala",13.9198N,90.7821W,563458000
" Itapoa, Brazil",26.1881S,48.5985W,566779000
" Santos, Brazil",23.9806S,46.3377W,566779000
" Cristobal, Panama",9.3488N,79.9102W,566779000
" Gibraltar, Gibraltar",36.1408N,5.3548W,304604000
" Vitoria, Brazil",20.3192S,40.3316W,304604000
" Barcelona, Spain",41.309N,2.1738E,304604000
" Tubarao, Brazil",20.2967S,40.246W,304604000
" Shanghai, China",31.4057N,121.5447E,374504000
" Nanaimo, Canada",49.1695N,123.8997W,374504000
" Taicang, China",31.6591N,121.2194E,374504000
" Crofton, Canada",48.8687N,123.6369W,374504000
" Dubai / Port Rashid, UAE",25.3007N,55.2708E,538003617
" Fujairah, UAE",25.1916N,56.3761E,538003617
" Dos Bocas, Mexico",18.4616N,93.2005W,345070023
" Hastings, Australia",38.3009S,145.2338E,354737000
" Cai Mep, Vietnam",10.5257N,107.0142E,354737000
" Qinzhou, China",21.7016N,108.5937E,354737000
" Singapore, Singapore",1.2788N,103.7566E,354737000
" Ar Ruways, UAE",24.176N,52.7375E,354737000
" Las Palmas, Spain",28.1267N,15.4132W,353666000
" Rotterdam Maasvlakte, Netherlands",51.9617N,4.0806E,353666000
" Le Havre, France",49.4739N,0.103E,353666000
" Sines, Portugal",37.9395N,8.8733W,353666000
" Rotterdam, Netherlands",51.9444N,4.1685E,353666000
" Antwerpen, Belgium",51.2247N,4.3273E,308121000
" Saint Petersburg, Russia",59.9333N,30.1108E,308121000
" Zeebrugge, Belgium",51.3581N,3.1999E,308121000
" Santos, Brazil",23.9806S,46.3377W,310515000
" Houston, USA",29.6523N,94.9857W,310515000
" Texas City, USA",29.382N,94.8839W,310515000
