,Latitude,Longitude
" Antioch, USA",38.0203N,121.8187W
" Adak, USA",51.8573N,176.6456W
" Annapolis, USA",38.9833N,76.4833W
" Alpena, USA",45.0653N,83.4089W
" Anchorage City, USA",61.2344N,149.9004W
" Amelia, USA",29.6519N,91.1124W
" Anacortes, USA",48.5157N,122.6143W
" Annette Island, USA",55.2692N,131.56W
" Algonac, USA",42.6171N,82.5294W
" Algoma, USA",44.6085N,87.4305W
" Albany, USA",42.6234N,73.7556W
" Alameda, USA",37.7739N,122.3165W
" Astoria, USA",46.1947N,123.8601W
" Ashtabula, USA",41.9146N,80.7851W
" Akutan, USA",54.13N,165.8041W
" Ashland, USA",46.6069N,90.8856W
" Aqualand Marina, USA",38.3571N,76.9821W
" Apalachicola, USA",29.7218N,84.9865W
" Armstrong, USA",56.2946N,134.6649W
" Aransas Pass, USA",27.8975N,97.1333W
" Atlantic City, USA",39.3784N,74.4215W
" Bay City, USA",43.6549N,83.8561W
" Bayfield, USA",46.8046N,90.8227W
" Beaufort, USA",34.7191N,76.6668W
" Baytown, USA",29.7295N,95.0235W
" Baton Rouge, USA",30.4544N,91.1927W
" Barnegat, USA",39.7583N,74.116W
" Bayou La Batre, USA",30.3822N,88.272W
" Barbers Point, USA",21.3223N,158.1263W
" Barbours Cut, USA",29.6846N,94.9878W
" Baraga, USA",46.7749N,88.4866W
" Bar Harbor, USA",44.3945N,68.2153W
" Bangor, USA",44.7926N,68.7602W
" Baltimore, USA, USA",39.1863N,76.4943W
" Bainbridge Island, USA",47.6203N,122.5067W
" Avondale, USA",29.9293N,90.1841W
" Avalon, USA",33.3474N,118.323W
" Auke Bay, USA",58.3786N,134.6796W
" Atreco, USA",29.9819N,93.8816W
" Atlantic Highlands, USA",40.4152N,74.0132W
" Boston, USA",42.3747N,71.0448W
" Brayton Point, USA",41.7042N,71.171W
" Boyne City, USA",45.2126N,85.0288W
" Boothbay Harbor, USA",43.8473N,69.6359W
" Boardman, USA",45.8451N,119.7133W
" Braithwaite, USA",29.8716N,89.9437W
" Beaumont, USA",30.0655N,94.0519W
" Bodega Bay, USA",38.3082N,123.0567W
" Blaine, USA",48.9901N,122.7621W
" Bethel, USA",60.7906N,161.7559W
" Big Stone, USA",38.9373N,75.3139W
" Biloxi, USA",30.408N,88.8499W
" Berwick, USA",29.6872N,91.2271W
" Beverly, USA",42.5384N,70.8904W
" Berkeley, USA",37.8664N,122.3186W
" Benicia, USA",38.0412N,122.1445W
" Bellingham, USA",48.7519N,122.4982W
" Belford, USA",40.4341N,74.0708W
" Belfast, USA",44.4277N,68.9978W
" Beaver Island, USA",45.745N,85.5148W
" Camas, USA",45.5774N,122.4207W
" Bremerton, USA",47.5537N,122.6325W
" Cameron, USA",29.7932N,93.3276W
" Calumet, USA",41.733N,87.5205W
" Cape Canaveral, USA",28.409N,80.5846W
" Cambridge, USA",38.5788N,76.0692W
" Camden, USA",44.2074N,69.058W
" Calcite, USA",45.4127N,83.7802W
" Burns Harbor, USA",41.6463N,87.1559W
" Burnside, USA",30.1238N,90.917W
" Burlington, USA",44.4744N,73.2384W
" Buffalo, USA",42.8779N,78.894W
" Bucksport, USA",44.5712N,68.8024W
" Burleson, USA",43.1215N,124.4153W
" Brunswick, USA",31.149N,81.4996W
" Brownsville, USA",25.9628N,97.3681W
" Bridgeport, USA",41.1592N,73.1778W
" Brookings, USA",42.0472N,124.269W
" Brevort, USA",46.0303N,85.1074W
" Cherry Point, USA",48.8599N,122.7632W
" Chicago, USA",41.8691N,87.5817W
" Chignik, USA",56.3107N,158.3892W
" Clarkston, USA",46.4258N,117.0659W
" Cape Charles, USA",37.2647N,76.0265W
" Cheboygan, USA",45.6561N,84.4635W
" Chinook, USA",46.2715N,123.9503W
" Chesapeake City, USA",39.5299N,75.818W
" Charlevoix, USA",45.3181N,85.2547W
" Charleston, USA",32.78N,79.93W
" Cedar River, USA",45.4097N,87.3477W
" Cathlamet, USA",46.2032N,123.3885W
" Chalmette, USA",29.93N,89.9822W
" Carteret, USA",40.5879N,74.2104W
" Castine, USA",44.3857N,68.7945W
" Carrabelle, USA",29.85N,84.6667W
" Capitola, USA",36.9683N,121.9524W
" Carpinteria, USA",34.3828N,119.509W
" Cape Vincent, USA",44.132N,76.3376W
" Cape May, USA",38.9428N,74.9032W
" Crockett, USA",38.0584N,122.2204W
" Darrow, USA",30.1138N,90.9825W
" Clayton, USA",44.2447N,76.0912W
" Dana Point, USA",33.4553N,117.6902W
" Craig, USA",55.4834N,133.1322W
" Crystal River, USA",28.9545N,82.7119W
" Cove Point, USA",38.4041N,76.3808W
" Crescent City, USA",41.7382N,124.1881W
" Corpus Christi, USA",27.8377N,97.4577W
" Coupeville, USA",48.2234N,122.6877W
" Cold Bay, USA",55.2081N,162.6935W
" Corolla, USA",36.3682N,75.8358W
" Convent, USA",30.0069N,90.8267W
" Coos Bay, USA",43.383N,124.2152W
" Conneaut, USA",41.9721N,80.5551W
" Cordova, USA",60.5531N,145.7641W
" Coeymans, USA",42.4818N,73.7887W
" Cleveland, USA",41.5127N,81.7144W
" Coden, USA",30.377N,88.2414W
" Clinton, USA",47.9757N,122.3483W
" Edgartown, USA",41.3873N,70.5115W
" Eddystone, USA",39.8519N,75.3321W
" Edenton, USA",36.0495N,76.6079W
